chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1737820484,2025-01-25T15:54:44Z,PI6BLA,PI1SHB,63(11/12),0,@,PI6BLA,/-,51.363167,5.250000,,,,,,,SQ3PLX http://microsat.com.pl/,,,"digi.i-gate, LoRa Bladel "
0,1737820484,2025-01-25T15:54:44Z,PI1SHB,PI1SHB,53(11/11),0,},PI1SHB,/ ,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1737820523,2025-01-25T15:55:23Z,PI1SHB,PI1SHB,54(11/13),0,},PI1SHB,/ ,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1737820599,2025-01-25T15:56:39Z,ON0ABT-2,PI1SHB?,48(11/12),0,:,ON0ABT-2,/U,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1737820600,2025-01-25T15:56:40Z,ON7DE,PI1SHB?,51(11/11),0,=,ON7DE,L#,50.999000,4.310667,,,,,,,UIview 32 bit apps,,,2/Home Station {UIV32N}
0,1737820609,2025-01-25T15:56:49Z,ON0ABT-2,PI1SHB?,52(12/12),0,T,ON0ABT-2,/U,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Telemetry: Seq=228, Vin=14.475 Volt, Rx1h=380 Pkt, Dg1h=80 Pkt, Eff1h=70 Pcnt, None=0 None, O1= Off0, O2= Off0, O3= Off0, O4= Off0, I1= Off0, I2= Off0, I3= Off0, I4= Off0",
0,1737820617,2025-01-25T15:56:57Z,ON7DE,PI1SHB?,59(12/13),0,>,ON7DE,/ ,,,,,,,,,UIview 32 bit apps,,,oper. Eddy  QTH Londerzeel JO20DX
0,1737820631,2025-01-25T15:57:11Z,ON7DE,PI1SHB?,54(13/14),0,<,ON7DE,/ ,,,,,,,,,UIview 32 bit apps,,,"IGATE,MSG_CNT=0,LOC_CNT=26"
0,1737820680,2025-01-25T15:58:00Z,PI1SHB,PI1SHB,77(12/13),1,!,PI1SHB,/#,51.700333,5.346333,,,,,,,>40 APRSmax,,,/Cross-Band Digi/IGate 's-Hertogenbosch
0,1737820761,2025-01-25T15:59:21Z,PI1SHB,PI1SHB,72(12/13),1,;,PI6SHB,/r,51.699667,5.347333,,,,1242.350,+2800,71.9,>40 APRSmax,,,0
0,1737820783,2025-01-25T15:59:43Z,PI6BLA,PI1SHB,71(14/14),1,@,PI6BLA,/-,51.363167,5.250000,,,,,,,SQ3PLX http://microsat.com.pl/,,,"digi.i-gate, LoRa Bladel "
0,1737820792,2025-01-25T15:59:52Z,PI8DEC-10,ARES,86(22/23),0,!,PI8DEC-10,Wa,51.812848,4.705554,,,,144.850,,,,,,"PI8DEC-10 Winlink RMS Relay-Hold, Regio 18, Loc: Dordrecht,PL:255,MF:4,MS:3, @144.850MHz"
0,1737820797,2025-01-25T15:59:57Z,PA7WP-7,PI1SHB?,60(13/15),0,`,PA7WP-7,/-,51.843833,4.954500,0.0,,,432.775,,88.5,Yaesu FT1D,Off Duty,,&CTCSS88.5Hz
0,1737820847,2025-01-25T16:00:47Z,PA2WDR-10,PI1SHB?,55(12/13),0,`,PA2WDR-10,/-,51.834333,4.355000,0.0,,,,,,Mic-Emsg,In Service,,_1
0,1737820854,2025-01-25T16:00:54Z,PI1SHB,PI1SHB,50(12/13),0,},PI1SHB,/ ,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1737820891,2025-01-25T16:01:31Z,MYCALL,MYCALL,51(20/16),0,e,MYCALL,/ ,,,,,,,,,,,,
0,1737820892,2025-01-25T16:01:32Z,MYCALL,MYCALL,53(19/17),1,e,MYCALL,/ ,,,,,,,,,,,,
0,1737820893,2025-01-25T16:01:33Z,MYCALL,MYCALL,50(20/16),1,e,MYCALL,/ ,,,,,,,,,,,,
0,1737820895,2025-01-25T16:01:35Z,MYCALL,MYCALL,48(20/16),1,v,MYCALL,/ ,,,,,,,,,,,,
0,1737820897,2025-01-25T16:01:37Z,MYCALL,MYCALL,48(20/16),1,l,MYCALL,/ ,,,,,,,,,,,,
0,1737821083,2025-01-25T16:04:43Z,PI6BLA,PI1SHB,63(13/13),0,@,PI6BLA,/-,51.363167,5.250000,,,,,,,SQ3PLX http://microsat.com.pl/,,,"digi.i-gate, LoRa Bladel "
0,1737821084,2025-01-25T16:04:44Z,PI1SHB,PI1SHB,62(11/12),0,},PI1SHB,/ ,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1737821092,2025-01-25T16:04:52Z,PI8DEC-10,ARES,88(20/23),0,!,PI8DEC-10,Wa,51.812848,4.705554,,,,144.850,,,,,,"PI8DEC-10 Winlink RMS Relay-Hold, Regio 18, Loc: Dordrecht,PL:255,MF:4,MS:3, @144.850MHz"
0,1737821111,2025-01-25T16:05:11Z,PI1SHB,PI1SHB,69(13/13),1,=,PI1SHB,/#,51.700333,5.346333,,,,,,,APRSISCE win32 version,,,/2m Digi/IGate 's-Hertogenbosch
0,1737821151,2025-01-25T16:05:51Z,PI1DRV,PI1DRV,65(20/20),0,},PI1DRV,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1737821157,2025-01-25T16:05:57Z,PA2WDR-10,PA2WDR-10,51(11/13),0,`,PA2WDR-10,/-,51.834333,4.355000,0.0,,,,,,Mic-Emsg,In Service,,_1
0,1737821185,2025-01-25T16:06:25Z,PI1SHB,PI1SHB,52(12/12),0,},PI1SHB,/ ,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1737821228,2025-01-25T16:07:08Z,PI1DFT-2,PI1SHB,48(12/12),0,@,PI1DFT-2,/#,51.995000,4.335833,,,,432.500,,,SQ3PLX http://microsat.com.pl/,,,PI1DFT.432.500 MHz Digi Delft
0,1737821252,2025-01-25T16:07:32Z,ON4AGP-9,ON0ANT-10,88(19/18),0,`,ON4AGP-9,/>,50.890833,4.542833,22.0,163.0,40.0,,,,Kenwood TM-D700,En Route,,
0,1737821253,2025-01-25T16:07:33Z,ON4AGP-9,PI1SHB?,57(12/13),0,`,ON4AGP-9,/>,50.890833,4.542833,22.0,163.0,40.0,,,,Kenwood TM-D700,En Route,,
0,1737821292,2025-01-25T16:08:12Z,PA2WDR-10,PA2WDR-10,58(11/13),1,`,PA2WDR-10,/-,51.834333,4.355000,0.0,,,,,,Mic-Emsg,In Service,,_1
0,1737821324,2025-01-25T16:08:44Z,PA2WDR-10,PA2WDR-10,57(11/12),0,`,PA2WDR-10,/-,51.834333,4.355000,0.0,,,,,,Mic-Emsg,In Service,,_1
0,1737821339,2025-01-25T16:08:59Z,PI1SHB,PI1SHB,53(13/13),0,;,PI2SHB,/r,51.709333,5.319333,,,,430.175,+1600,71.9,>40 APRSmax,,,
0,1737821363,2025-01-25T16:09:23Z,PA2WDR-10,PA2WDR-10,56(11/12),0,`,PA2WDR-10,/-,51.834333,4.355000,0.0,,,,,,Mic-Emsg,In Service,,_1
